sequence,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhFxgBTiBClB0mBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8JeKEJvhFWlBxgBTiB0mBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jei/IvhFzgBGiB3kBlqBRs?BUsB,v115@FhB8HeB8IeD8AeB8BeB8JeKEJvhFzfBRhBcnBGmBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jex/IvhFmhBqnBTkB/qBFm?BUsB,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhF0gBxhBzkBFnBCr?B3sB,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhF8kBzgBlqBRsBfs?B6sB,v115@FhB8HeB8IeD8AeB8BeB8JexAJvhFTiBikBuqB1rB0k?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jei/IvhF3gBWnB1pB8qBRs?BTsB,v115@FhB8HeB8IeD8AeB8BeB8Jel/IvhF3gBCiB2pB8qBRs?BTsB
IOZTLSJ,X,X,X,X,O,X,X,X,O,X
IOZTJLS,X,X,X,X,X,O,O,X,O,X
IOZTJSL,X,X,X,X,X,O,O,X,O,X
IOZTSLJ,X,X,X,X,O,X,X,X,O,X
IOZTSJL,X,X,X,X,O,X,O,X,O,X
IOZLTJS,X,X,X,X,O,O,X,X,X,X
IOZLTSJ,X,X,X,X,O,O,X,X,X,X
IOZLJTS,X,X,X,X,O,O,X,X,X,O
IOZLJST,X,X,X,X,O,O,X,X,X,O
IOZLSTJ,X,X,X,X,O,O,X,X,X,O
IOZLSJT,X,X,X,X,O,O,X,X,X,O
IOZJTLS,X,X,X,X,X,O,O,X,O,O
IOZJTSL,X,X,X,X,X,O,O,X,O,O
IOZJLTS,X,X,X,X,O,O,X,X,X,O
IOZJLST,X,X,X,X,O,O,X,X,X,O
IOZJSTL,X,X,X,X,O,O,X,X,O,O
IOZJSLT,X,X,X,X,O,O,X,X,X,O
IOZSTLJ,X,X,X,X,O,O,X,X,O,O
IOZSTJL,X,X,X,X,O,O,X,X,O,X
IOZSLTJ,X,X,X,X,O,O,X,X,X,O
IOZSLJT,X,X,X,X,O,O,X,X,X,O
IOZSJTL,X,X,X,X,O,O,X,X,O,O
IOZSJLT,X,X,X,X,O,O,X,X,X,O
LTIJSZO,O,O,O,O,O,O,X,O,O,X
LTIJSOZ,O,O,O,O,O,X,X,O,X,X
LTIJZSO,O,O,X,X,X,O,X,O,O,X
LTIJZOS,O,O,X,X,X,O,X,O,O,X
LTIJOSZ,O,O,O,O,O,O,X,O,X,X
LTIJOZS,O,O,X,X,X,O,X,O,O,X
LTISJZO,O,O,O,O,X,O,X,O,O,X
LTISJOZ,O,O,O,O,X,X,X,O,X,X
LTISZJO,O,O,O,O,X,O,X,X,O,X
LTISZOJ,O,O,O,O,X,O,X,X,O,X
LTISOJZ,O,O,O,O,X,O,X,O,X,X
LTISOZJ,O,X,O,O,X,O,X,X,X,X
LTIZJSO,O,O,X,X,X,O,O,X,O,X
LTIZJOS,O,O,X,X,X,O,O,X,O,X
LTIZSJO,O,O,X,X,X,O,X,X,O,X
LTIZSOJ,O,O,X,X,X,O,X,X,O,X
LTIZOJS,O,O,X,X,X,O,O,X,O,X
LTIZOSJ,O,O,X,X,X,O,X,X,O,X
LTIOJSZ,O,X,O,O,O,O,X,O,X,X
LTIOJZS,O,X,X,X,X,O,X,O,O,X
LTIOSJZ,O,X,O,O,X,O,X,X,X,X
LTIOSZJ,O,X,O,O,X,O,X,X,X,X
LTIOZJS,O,X,X,X,X,O,O,X,O,X
LTIOZSJ,O,X,X,X,X,O,X,X,O,X
LTJISZO,O,O,X,O,O,O,X,O,O,X
LTJISOZ,O,O,X,O,O,X,X,O,X,X
LTJIZSO,O,O,X,X,X,O,X,O,O,X
LTJIZOS,O,O,X,X,X,O,X,O,O,X
LTJIOSZ,O,O,X,O,O,O,X,O,X,X
LTJIOZS,O,O,X,X,X,O,X,O,O,X
LTJSIZO,O,O,X,O,O,O,X,O,X,X
LTJSIOZ,O,O,X,O,O,O,X,O,X,X
LTJSZIO,O,O,X,O,O,O,X,O,X,X
LTJSZOI,O,O,X,O,O,O,X,O,X,X
LTJSOIZ,O,O,X,O,O,O,X,O,X,X
LTJSOZI,O,O,X,O,O,O,X,O,X,X
LTJZISO,O,O,X,X,X,O,X,O,O,X
LTJZIOS,O,O,X,X,X,O,X,O,O,X
LTJZSIO,O,O,X,O,O,O,X,O,O,X
LTJZSOI,O,O,X,O,O,O,X,O,X,X
LTJZOIS,O,O,X,X,X,O,X,O,X,X
LTJZOSI,O,O,X,O,O,O,X,O,X,X
LTJOISZ,O,O,X,O,O,O,X,O,X,X
LTJOIZS,O,O,X,X,X,O,X,O,X,X
LTJOSIZ,O,O,X,O,O,O,X,O,X,X
LTJOSZI,O,O,X,O,O,O,X,O,X,X
LTJOZIS,O,O,X,X,X,O,X,O,X,X
LTJOZSI,O,O,X,O,O,O,X,O,X,X
LTSIJZO,O,O,O,O,O,O,X,O,O,X
LTSIJOZ,O,O,O,O,O,O,X,O,X,X
LTSIZJO,O,O,O,O,O,O,X,X,O,X
LTSIZOJ,O,O,O,O,X,O,X,X,O,X
LTSIOJZ,O,O,O,O,O,O,X,O,X,X
LTSIOZJ,O,X,O,O,O,O,X,X,X,X
LTSJIZO,O,O,O,O,O,O,X,O,X,X
LTSJIOZ,O,O,O,O,O,O,X,O,X,X
LTSJZIO,O,O,X,O,O,O,X,O,X,X
LTSJZOI,O,O,X,O,O,O,X,O,X,X
LTSJOIZ,O,O,O,O,O,O,X,O,X,X
LTSJOZI,O,O,X,O,O,O,X,O,X,X
LTSZIJO,O,O,O,O,O,O,X,X,O,X
LTSZIOJ,O,O,O,O,X,O,X,X,O,X
LTSZJIO,O,O,X,O,O,O,X,O,O,X
LTSZJOI,O,O,X,O,O,O,X,O,X,X
LTSZOIJ,O,O,O,O,O,O,X,X,O,X
LTSZOJI,O,O,X,O,O,O,X,O,X,X
LTSOIJZ,O,O,O,O,O,O,X,O,X,X
LTSOIZJ,O,X,O,O,O,O,X,X,X,X
LTSOJIZ,O,O,O,O,O,O,X,O,X,X
LTSOJZI,O,O,X,O,O,O,X,O,X,X
LTSOZIJ,O,O,O,O,O,O,X,X,X,X
LTSOZJI,O,O,X,O,O,O,X,O,X,X
LTZIJSO,O,O,X,X,O,O,O,X,O,X
LTZIJOS,O,O,X,X,O,O,O,X,O,X
LTZISJO,O,O,X,X,X,O,X,X,O,X
LTZISOJ,O,O,X,X,X,O,X,X,O,X
LTZIOJS,O,O,X,X,O,O,O,X,O,X
LTZIOSJ,O,O,X,X,X,O,X,X,O,X
LTZJISO,O,O,X,X,O,O,O,O,O,X
LTZJIOS,O,O,X,X,O,O,O,O,O,X
LTZJSIO,O,O,X,O,O,O,X,O,O,X
LTZJSOI,O,O,X,O,O,O,X,O,X,X
LTZJOIS,O,O,X,X,O,O,O,O,X,X
LTZJOSI,O,O,X,O,O,O,X,O,X,X
LTZSIJO,O,O,X,O,X,O,X,X,O,X
LTZSIOJ,O,O,X,O,X,O,X,X,O,X
LTZSJIO,O,O,X,O,O,O,X,O,O,X
LTZSJOI,O,O,X,O,O,O,X,O,X,X
LTZSOIJ,O,O,X,O,X,O,X,X,O,X
LTZSOJI,O,O,X,O,O,O,X,O,X,X
LTZOIJS,O,O,X,X,O,O,O,X,O,X
LTZOISJ,O,O,X,X,X,O,X,X,O,X
LTZOJIS,O,O,X,X,O,O,O,O,X,X
LTZOJSI,O,O,X,O,O,O,X,O,X,X
LTZOSIJ,O,O,X,O,X,O,X,X,O,X
LTZOSJI,O,O,X,O,O,O,X,X,X,X
LTOIJSZ,O,X,O,O,O,O,X,O,X,X
LTOIJZS,O,X,X,X,X,O,X,O,O,X
LTOISJZ,O,X,O,O,O,O,X,X,X,X
LTOISZJ,O,X,O,O,O,O,X,X,X,X
LTOIZJS,O,X,X,X,X,O,O,X,O,X
LTOIZSJ,O,X,X,X,X,O,X,X,O,X
LTOJISZ,O,O,X,O,O,O,X,O,X,X
LTOJIZS,O,O,X,X,X,O,X,O,X,X
LTOJSIZ,O,O,X,O,O,O,X,O,X,X
LTOJSZI,O,O,X,O,O,O,X,O,X,X
LTOJZIS,O,O,X,X,X,O,X,O,X,X
LTOJZSI,O,O,X,O,O,O,X,O,X,X
LTOSIJZ,O,O,O,O,O,O,X,O,X,X
LTOSIZJ,O,X,O,O,O,O,X,X,X,X
LTOSJIZ,O,O,O,O,O,O,X,O,X,X
LTOSJZI,O,O,X,O,O,O,X,O,X,X
LTOSZIJ,O,O,O,O,O,O,X,X,X,X
LTOSZJI,O,O,X,O,O,O,X,O,X,X
LTOZIJS,O,O,X,X,O,O,O,X,O,X
LTOZISJ,O,O,X,X,X,O,X,X,O,X
LTOZJIS,O,O,X,X,O,O,O,O,X,X
LTOZJSI,O,O,X,O,O,O,X,O,X,X
LTOZSIJ,O,O,X,O,X,O,X,X,O,X
LTOZSJI,O,O,X,O,O,O,X,X,X,X
LITJSZO,O,O,O,O,O,O,X,O,O,O
LITJSOZ,O,O,O,O,O,X,X,O,X,X
LITJZSO,O,O,X,X,X,O,X,O,O,O
LITJZOS,O,O,X,X,X,O,X,O,O,O
LITJOSZ,X,O,O,O,O,O,X,O,X,X
LITJOZS,X,O,X,X,X,O,X,O,O,O
LITSJZO,O,O,O,O,X,O,X,O,O,X
LITSJOZ,O,O,O,O,X,X,X,O,X,X
LITSZJO,O,O,O,O,X,O,X,X,O,X
LITSZOJ,O,O,O,O,X,O,X,X,O,X
LITSOJZ,O,O,O,O,X,O,X,O,X,X
LITSOZJ,X,X,O,O,X,O,X,X,X,X
LITZJSO,O,O,X,X,X,O,O,X,O,O
LITZJOS,O,O,X,X,X,O,O,X,O,O
LITZSJO,O,O,X,X,X,O,X,X,O,O
LITZSOJ,O,O,X,X,X,O,X,X,O,O
LITZOJS,O,O,X,X,X,O,O,X,O,X
LITZOSJ,X,O,X,X,X,O,X,X,O,X
LITOJSZ,X,X,O,O,O,O,X,O,X,X
LITOJZS,X,X,X,X,X,O,X,O,O,X
LITOSJZ,X,X,O,O,X,O,X,X,X,X
LITOSZJ,X,X,O,O,X,O,X,X,X,X
LITOZJS,X,X,X,X,X,O,O,X,O,X
LITOZSJ,X,X,X,X,X,O,X,X,O,X
LIJTSZO,O,O,O,X,X,O,X,O,O,O
LIJTSOZ,O,O,O,X,X,X,X,O,X,X
LIJTZSO,O,O,X,X,X,O,X,O,O,O
LIJTZOS,O,O,X,X,X,O,X,O,O,O
LIJTOSZ,X,X,O,X,X,X,X,O,X,X
LIJTOZS,X,X,X,X,X,O,X,O,O,O
LIJSTZO,O,O,O,X,X,O,X,O,X,O
LIJSTOZ,O,O,O,X,X,O,X,O,X,X
LIJSZTO,O,O,O,O,X,O,X,X,X,O
LIJSZOT,O,O,X,O,X,O,X,X,X,O
LIJSOTZ,O,O,O,X,X,X,X,X,X,X
LIJSOZT,O,O,X,O,X,X,X,X,X,X
LIJZTSO,O,O,X,X,X,O,O,O,O,O
LIJZTOS,O,O,X,X,X,O,O,O,O,O
LIJZSTO,O,O,X,X,X,O,X,X,O,O
LIJZSOT,O,O,X,X,X,O,X,X,X,O
LIJZOTS,O,O,X,X,X,O,X,X,X,O
LIJZOST,O,O,X,X,X,O,X,X,X,O
LIJOTSZ,X,X,X,X,X,X,X,O,X,X
LIJOTZS,X,X,X,X,X,X,X,O,X,O
LIJOSTZ,O,O,X,X,X,X,X,X,X,X
LIJOSZT,O,O,X,O,X,X,X,X,X,X
LIJOZTS,O,O,X,X,X,X,X,X,X,O
LIJOZST,O,O,X,X,X,X,X,X,X,O
LISTJZO,O,O,O,O,O,O,X,O,X,X
LISTJOZ,O,O,O,O,O,O,X,O,X,X
LISTZJO,O,O,O,O,O,O,X,X,X,X
LISTZOJ,O,O,O,O,X,O,X,X,X,X
LISTOJZ,O,O,O,O,O,O,X,O,X,X
LISTOZJ,X,X,O,O,O,O,X,X,X,X
LISJTZO,O,O,O,X,O,O,X,O,X,O
LISJTOZ,O,O,O,X,O,O,X,O,X,X
LISJZTO,O,O,O,O,X,O,X,X,X,O
LISJZOT,O,O,X,O,X,O,X,X,X,O
LISJOTZ,O,O,O,X,X,X,X,X,X,X
LISJOZT,O,O,X,O,X,X,X,X,X,X
LISZTJO,O,O,O,O,O,O,X,X,X,O
LISZTOJ,O,O,O,O,X,O,X,X,X,O
LISZJTO,O,O,O,O,X,O,X,X,X,O
LISZJOT,O,O,X,O,X,O,X,X,X,O
LISZOTJ,O,O,X,O,X,O,X,X,X,O
LISZOJT,O,O,X,O,X,O,X,X,X,O
LISOTJZ,O,O,O,O,O,O,X,O,X,X
LISOTZJ,O,X,O,O,O,O,X,X,X,X
LISOJTZ,O,O,O,X,O,O,X,X,X,X
LISOJZT,O,O,X,O,X,O,X,X,X,X
LISOZTJ,O,O,X,O,O,O,X,X,X,X
LISOZJT,O,O,X,O,X,O,X,X,X,X
LIZTJSO,O,O,X,X,X,O,O,X,O,O
LIZTJOS,O,O,X,X,X,O,O,X,O,O
LIZTSJO,O,O,X,X,X,O,X,X,O,O
LIZTSOJ,O,O,X,X,X,O,X,X,O,O
LIZTOJS,O,O,X,X,X,O,O,X,O,X
LIZTOSJ,X,O,X,X,X,O,X,X,O,X
LIZJTSO,O,O,X,X,X,O,O,O,O,O
LIZJTOS,O,O,X,X,X,O,O,O,O,O
LIZJSTO,O,O,X,X,X,O,X,X,O,O
LIZJSOT,O,O,X,X,X,O,X,X,X,O
LIZJOTS,O,O,X,X,X,O,X,X,X,O
LIZJOST,O,O,X,X,X,O,X,X,X,O
LIZSTJO,O,O,X,X,X,O,X,X,O,O
LIZSTOJ,O,O,X,X,X,O,X,X,O,O
LIZSJTO,O,O,X,X,X,O,X,X,O,O
LIZSJOT,O,O,X,X,X,O,X,X,X,O
LIZSOTJ,O,O,X,X,X,O,X,X,X,O
LIZSOJT,O,O,X,X,X,O,X,X,X,O
LIZOTJS,O,O,X,X,X,O,X,X,X,X
LIZOTSJ,X,O,X,X,X,O,X,X,X,X
LIZOJTS,O,O,X,X,X,O,X,X,X,O
LIZOJST,O,O,X,X,X,O,X,X,X,O
LIZOSTJ,O,O,X,X,X,O,X,X,X,O
LIZOSJT,O,O,X,X,X,O,X,X,X,O
LIOTJSZ,X,X,X,O,O,O,X,X,X,X
LIOTJZS,X,X,X,X,X,O,X,X,X,X
LIOTSJZ,X,X,X,O,O,O,X,X,X,X
LIOTSZJ,X,X,X,O,O,O,X,X,X,X
LIOTZJS,X,X,X,X,X,O,X,X,X,X
LIOTZSJ,X,X,X,X,X,O,X,X,X,X
LIOJTSZ,X,X,X,X,X,O,X,O,X,X
LIOJTZS,X,X,X,X,X,O,X,O,X,O
LIOJSTZ,O,X,X,X,O,O,X,X,X,X
LIOJSZT,O,X,X,O,X,O,X,X,X,X
LIOJZTS,O,X,X,X,X,O,X,X,X,O
LIOJZST,O,X,X,X,X,O,X,X,X,O
LIOSTJZ,O,X,X,O,O,O,X,X,X,X
LIOSTZJ,X,X,X,O,O,O,X,X,X,X
LIOSJTZ,O,X,X,X,O,O,X,X,X,X
LIOSJZT,O,X,X,O,X,O,X,X,X,X
LIOSZTJ,O,X,X,O,O,O,X,X,X,X
LIOSZJT,O,X,X,O,X,O,X,X,X,X
LIOZTJS,O,X,X,X,X,O,X,X,X,X
LIOZTSJ,X,X,X,X,X,O,X,X,X,X
LIOZJTS,O,X,X,X,X,O,X,X,X,O
LIOZJST,O,X,X,X,X,O,X,X,X,O
LIOZSTJ,O,X,X,X,O,O,X,X,X,O
LIOZSJT,O,X,X,X,X,O,X,X,X,O
LJTISZO,O,O,X,O,O,O,X,O,X,O
LJTISOZ,O,O,X,O,O,X,X,O,X,X
LJTIZSO,O,O,X,X,X,O,X,O,X,O
LJTIZOS,O,O,X,X,X,O,X,O,X,O
LJTIOSZ,O,O,X,O,O,O,X,O,X,X
LJTIOZS,O,O,X,X,X,O,X,O,X,O
LJTSIZO,O,O,X,O,O,O,X,O,X,X
LJTSIOZ,O,O,X,O,O,O,X,O,X,X
LJTSZIO,O,O,X,O,O,O,X,O,X,X
LJTSZOI,O,O,X,O,O,O,X,O,X,X
LJTSOIZ,O,O,X,O,O,O,X,O,X,X
LJTSOZI,O,O,X,O,O,O,X,O,X,X
LJTZISO,O,O,X,X,X,O,X,O,X,O
LJTZIOS,O,O,X,X,X,O,X,O,X,O
LJTZSIO,O,O,X,O,O,O,X,O,X,O
LJTZSOI,O,O,X,O,O,O,X,O,X,X
LJTZOIS,O,O,X,X,X,O,X,O,X,X
LJTZOSI,O,O,X,O,O,O,X,O,X,X
LJTOISZ,O,O,X,O,O,O,X,O,X,X
LJTOIZS,O,O,X,X,X,O,X,O,X,X
LJTOSIZ,O,O,X,O,O,O,X,O,X,X
LJTOSZI,O,O,X,O,O,O,X,O,X,X
LJTOZIS,O,O,X,X,X,O,X,O,X,X
LJTOZSI,O,O,X,O,O,O,X,O,X,X
LJITSZO,O,O,X,X,X,O,X,O,X,O
LJITSOZ,O,O,X,X,X,X,X,O,X,X
LJITZSO,O,O,X,X,X,O,X,O,X,O
LJITZOS,O,O,X,X,X,O,X,O,X,O
LJITOSZ,X,X,X,X,X,X,X,O,X,X
LJITOZS,X,X,X,X,X,O,X,O,X,O
LJISTZO,O,O,X,X,X,O,X,O,X,O
LJISTOZ,O,O,X,X,X,O,X,O,X,X
LJISZTO,O,O,X,O,X,O,X,X,X,O
LJISZOT,O,O,X,O,X,O,X,X,X,O
LJISOTZ,O,O,X,X,X,X,X,X,X,X
LJISOZT,O,O,X,O,X,X,X,X,X,X
LJIZTSO,O,O,X,X,X,O,O,O,X,O
LJIZTOS,O,O,X,X,X,O,O,O,X,O
LJIZSTO,O,O,X,X,X,O,X,X,X,O
LJIZSOT,O,O,X,X,X,O,X,X,X,O
LJIZOTS,O,O,X,X,X,O,X,X,X,O
LJIZOST,O,O,X,X,X,O,X,X,X,O
LJIOTSZ,X,X,X,X,X,X,X,O,X,X
LJIOTZS,X,X,X,X,X,X,X,O,X,O
LJIOSTZ,O,O,X,X,X,X,X,X,X,X
LJIOSZT,O,O,X,O,X,X,X,X,X,X
LJIOZTS,O,O,X,X,X,X,X,X,X,O
LJIOZST,O,O,X,X,X,X,X,X,X,O
LJSTIZO,O,O,X,O,O,O,X,O,X,X
LJSTIOZ,O,O,X,O,O,O,X,O,X,X
LJSTZIO,O,O,X,O,O,O,X,O,X,X
LJSTZOI,O,O,X,O,O,O,X,O,X,X
LJSTOIZ,O,O,X,O,O,O,X,O,X,X
LJSTOZI,O,O,X,O,O,O,X,O,X,X
LJSITZO,O,O,X,X,O,O,X,O,X,X
LJSITOZ,O,O,X,X,O,O,X,O,X,X
LJSIZTO,O,O,X,O,X,O,X,X,X,X
LJSIZOT,O,O,X,O,X,O,X,X,X,X
LJSIOTZ,O,O,X,X,X,X,X,X,X,X
LJSIOZT,O,O,X,O,X,X,X,X,X,X
LJSZTIO,O,O,X,O,X,O,X,X,X,X
LJSZTOI,O,O,X,O,X,O,X,X,X,X
LJSZITO,O,O,X,O,X,O,X,X,X,X
LJSZIOT,O,O,X,O,X,O,X,X,X,X
LJSZOTI,O,O,X,O,X,O,X,X,X,X
LJSZOIT,O,O,X,O,X,O,X,X,X,X
LJSOTIZ,O,O,X,O,O,O,X,O,X,X
LJSOTZI,O,O,X,O,O,O,X,O,X,X
LJSOITZ,O,O,X,X,O,O,X,X,X,X
LJSOIZT,O,O,X,O,X,O,X,X,X,X
LJSOZTI,O,O,X,O,X,O,X,X,X,X
LJSOZIT,O,O,X,O,X,O,X,X,X,X
LJZTISO,O,O,X,X,X,O,O,O,X,O
LJZTIOS,O,O,X,X,X,O,O,O,X,O
LJZTSIO,O,O,X,X,X,O,X,O,X,O
LJZTSOI,O,O,X,X,X,O,X,O,X,X
LJZTOIS,O,O,X,X,X,O,O,O,X,X
LJZTOSI,O,O,X,X,X,O,X,O,X,X
LJZITSO,O,O,X,X,X,O,O,O,X,O
LJZITOS,O,O,X,X,X,O,O,O,X,O
LJZISTO,O,O,X,X,X,O,X,X,X,O
LJZISOT,O,O,X,X,X,O,X,X,X,O
LJZIOTS,O,O,X,X,X,O,X,X,X,O
LJZIOST,O,O,X,X,X,O,X,X,X,O
LJZSTIO,O,O,X,O,X,O,X,X,X,O
LJZSTOI,O,O,X,O,X,O,X,X,X,X
LJZSITO,O,O,X,O,X,O,X,X,X,O
LJZSIOT,O,O,X,O,X,O,X,X,X,O
LJZSOTI,O,O,X,O,X,O,X,X,X,X
LJZSOIT,O,O,X,O,X,O,X,X,X,X
LJZOTIS,O,O,X,X,X,O,X,X,X,X
LJZOTSI,O,O,X,X,X,O,X,X,X,X
LJZOITS,O,O,X,X,X,O,X,X,X,X
LJZOIST,O,O,X,X,X,O,X,X,X,X
LJZOSTI,O,O,X,O,X,O,X,X,X,X
LJZOSIT,O,O,X,O,X,O,X,X,X,X
LJOTISZ,X,X,X,O,O,O,X,O,X,X
LJOTIZS,X,X,X,X,X,O,X,O,X,X
LJOTSIZ,X,X,X,O,O,O,X,O,X,X
LJOTSZI,X,X,X,O,O,O,X,O,X,X
LJOTZIS,X,X,X,X,X,O,X,O,X,X
LJOTZSI,X,X,X,O,O,O,X,O,X,X
LJOITSZ,X,X,X,X,X,O,X,O,X,X
LJOITZS,X,X,X,X,X,O,X,O,X,X
LJOISTZ,O,O,X,X,O,O,X,X,X,X
LJOISZT,O,O,X,O,X,O,X,X,X,X
LJOIZTS,O,O,X,X,X,O,X,X,X,X
LJOIZST,O,O,X,X,X,O,X,X,X,X
LJOSTIZ,O,O,X,O,O,O,X,X,X,X
LJOSTZI,O,O,X,O,O,O,X,X,X,X
LJOSITZ,O,O,X,X,O,O,X,X,X,X
LJOSIZT,O,O,X,O,X,O,X,X,X,X
LJOSZTI,O,O,X,O,X,O,X,X,X,X
LJOSZIT,O,O,X,O,X,O,X,X,X,X
LJOZTIS,O,O,X,X,X,O,X,X,X,X
LJOZTSI,O,O,X,X,X,O,X,X,X,X
LJOZITS,O,O,X,X,X,O,X,X,X,X
LJOZIST,O,O,X,X,X,O,X,X,X,X
LJOZSTI,O,O,X,O,X,O,X,X,X,X
LJOZSIT,O,O,X,O,X,O,X,X,X,X
LSTIJZO,O,O,O,O,O,O,X,O,X,X
LSTIJOZ,O,O,O,O,O,O,X,O,X,X
LSTIZJO,O,O,O,O,O,O,X,X,X,X
LSTIZOJ,O,O,O,O,O,O,X,X,X,X
LSTIOJZ,O,O,O,O,O,O,X,O,X,X
LSTIOZJ,O,X,O,O,O,O,X,X,X,X
LSTJIZO,O,O,O,O,O,O,X,O,X,X
LSTJIOZ,O,O,O,O,O,O,X,O,X,X
LSTJZIO,O,O,X,O,O,O,X,O,X,X
LSTJZOI,O,O,X,O,O,O,X,O,X,X
LSTJOIZ,O,O,O,O,O,O,X,O,X,X
LSTJOZI,O,O,X,O,O,O,X,O,X,X
LSTZIJO,O,O,O,O,O,O,X,X,X,X
LSTZIOJ,O,O,O,O,O,O,X,X,X,X
LSTZJIO,O,O,X,O,O,O,X,O,X,X
LSTZJOI,O,O,X,O,O,O,X,O,X,X
LSTZOIJ,O,O,O,O,O,O,X,X,X,X
LSTZOJI,O,O,X,O,O,O,X,O,X,X
LSTOIJZ,O,O,O,O,O,O,X,O,X,X
LSTOIZJ,O,X,O,O,O,O,X,X,X,X
LSTOJIZ,O,O,O,O,O,O,X,O,X,X
LSTOJZI,O,O,X,O,O,O,X,O,X,X
LSTOZIJ,O,O,O,O,O,O,X,X,X,X
LSTOZJI,O,O,X,O,O,O,X,O,X,X
LSITJZO,O,O,O,O,O,O,X,O,X,X
LSITJOZ,O,O,O,O,O,O,X,O,X,X
LSITZJO,O,O,O,O,O,O,X,X,X,X
LSITZOJ,O,O,O,O,O,O,X,X,X,X
LSITOJZ,O,O,O,O,O,O,X,O,X,X
LSITOZJ,X,X,O,O,O,O,X,X,X,X
LSIJTZO,O,O,O,X,O,O,X,O,X,X
LSIJTOZ,O,O,O,X,O,O,X,O,X,X
LSIJZTO,O,O,O,O,X,O,X,X,X,X
LSIJZOT,O,O,X,O,X,O,X,X,X,X
LSIJOTZ,O,O,O,X,X,X,X,X,X,X
LSIJOZT,O,O,X,O,X,X,X,X,X,X
LSIZTJO,O,O,O,O,O,O,X,X,X,X
LSIZTOJ,O,O,O,O,O,O,X,X,X,X
LSIZJTO,O,O,O,O,O,O,X,X,X,X
LSIZJOT,O,O,X,O,O,O,X,X,X,X
LSIZOTJ,O,O,X,O,O,O,X,X,X,X
LSIZOJT,O,O,X,O,O,O,X,X,X,X
LSIOTJZ,O,O,O,O,O,O,X,O,X,X
LSIOTZJ,O,X,O,O,O,O,X,X,X,X
LSIOJTZ,O,O,O,X,O,O,X,X,X,X
LSIOJZT,O,O,X,O,X,O,X,X,X,X
LSIOZTJ,O,O,X,O,O,O,X,X,X,X
LSIOZJT,O,O,X,O,X,O,X,X,X,X
LSJTIZO,O,O,O,O,O,O,X,O,X,X
LSJTIOZ,O,O,O,O,O,O,X,O,X,X
LSJTZIO,O,O,X,O,O,O,X,O,X,X
LSJTZOI,O,O,X,O,O,O,X,O,X,X
LSJTOIZ,O,O,O,O,O,O,X,O,X,X
LSJTOZI,O,O,X,O,O,O,X,O,X,X
LSJITZO,O,O,O,X,O,O,X,O,X,X
LSJITOZ,O,O,O,X,O,O,X,O,X,X
LSJIZTO,O,O,O,O,X,O,X,X,X,X
LSJIZOT,O,O,X,O,X,O,X,X,X,X
LSJIOTZ,O,O,O,X,X,X,X,X,X,X
LSJIOZT,O,O,X,O,X,X,X,X,X,X
LSJZTIO,O,O,X,O,X,O,X,X,X,X
LSJZTOI,O,O,X,O,X,O,X,X,X,X
LSJZITO,O,O,X,O,X,O,X,X,X,X
LSJZIOT,O,O,X,O,X,O,X,X,X,X
LSJZOTI,O,O,X,O,X,O,X,X,X,X
LSJZOIT,O,O,X,O,X,O,X,X,X,X
LSJOTIZ,O,O,X,O,O,O,X,O,X,X
LSJOTZI,O,O,X,O,O,O,X,O,X,X
LSJOITZ,O,O,X,X,O,O,X,X,X,X
LSJOIZT,O,O,X,O,X,O,X,X,X,X
LSJOZTI,O,O,X,O,X,O,X,X,X,X
LSJOZIT,O,O,X,O,X,O,X,X,X,X
LSZTIJO,O,O,O,O,O,O,X,X,X,X
LSZTIOJ,O,O,O,O,O,O,X,X,X,X
LSZTJIO,O,O,X,O,O,O,X,O,X,X
LSZTJOI,O,O,X,O,O,O,X,O,X,X
LSZTOIJ,O,O,O,O,O,O,X,X,X,X
LSZTOJI,O,O,X,O,O,O,X,O,X,X
LSZITJO,O,O,O,O,O,O,X,X,X,X
LSZITOJ,O,O,O,O,O,O,X,X,X,X
LSZIJTO,O,O,O,O,O,O,X,X,X,X
LSZIJOT,O,O,X,O,O,O,X,X,X,X
LSZIOTJ,O,O,X,O,O,O,X,X,X,X
LSZIOJT,O,O,X,O,O,O,X,X,X,X
LSZJTIO,O,O,X,O,O,O,X,X,X,X
LSZJTOI,O,O,X,O,O,O,X,X,X,X
LSZJITO,O,O,X,O,O,O,X,X,X,X
LSZJIOT,O,O,X,O,O,O,X,X,X,X
LSZJOTI,O,O,X,O,O,O,X,X,X,X
LSZJOIT,O,O,X,O,O,O,X,X,X,X
LSZOTIJ,O,O,X,O,O,O,X,X,X,X
LSZOTJI,O,O,X,O,O,O,X,O,X,X
LSZOITJ,O,O,X,O,O,O,X,X,X,X
LSZOIJT,O,O,X,O,O,O,X,X,X,X
LSZOJTI,O,O,X,O,O,O,X,X,X,X
LSZOJIT,O,O,X,O,O,O,X,X,X,X
LSOTIJZ,O,O,O,O,O,O,X,O,X,X
