sequence,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjB6mBO?nBzlBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhF3dBcjB6lBO?mBzmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjBOnBC?mBtsBTrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBSjBThBN?nBWrB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFxcBTeBXmBm?nB0mB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTeBxhBXmBm?nB0mB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFicB+iBTeB3?hB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBKiBcjBX?mBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBanBG?mBtsBzqB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBulBi?mBtsBzrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBxdBenBC?jBXmB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFyhBTeB0mBm?nB5nBXrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JecDJvhFxgBXiBzlBt?sBGrBisB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjBzlBC?nBmmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF0hBxiBOoBz?lB9sBCsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF9hBKiBcjBz?lBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFthBTeB8lBm?nBxrB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFKhBzcBGeB3?iB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFGeBXhBdoBz?mB0lB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeT+IvhF6lBxhBUhBm?nB3mB9sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFTeB0gBmhBf?oBSrB9sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFCdBTeBxmB8?sBerBXsB
ZJOTLIS,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJOTLSI,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJOTSIL,O,O,X,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X
ZJOTSLI,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJOITLS,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O
ZJOITSL,O,O,X,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X,O
ZJOILTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZJOILST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJOISTL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ZJOISLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZJOLTIS,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
ZJOLTSI,O,X,X,O,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
ZJOLITS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJOLIST,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
ZJOLSTI,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
ZJOLSIT,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZJOSTIL,O,X,X,O,O,O,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
ZJOSTLI,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X
ZJOSITL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X
ZJOSILT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZJOSLTI,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
ZJOSLIT,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZSTILJO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O
ZSTILOJ,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O
ZSTIJLO,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O
ZSTIJOL,O,O,O,O,X,O,X,O,O,O,O,X,O,X,X,X,O,O,X,X,X,O
ZSTIOLJ,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X,O
ZSTIOJL,O,O,O,X,X,O,X,O,O,O,O,X,O,X,X,X,O,O,X,X,X,O
ZSTLIJO,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSTLIOJ,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSTLJIO,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTLJOI,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
ZSTLOIJ,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSTLOJI,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZSTJILO,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X
ZSTJIOL,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X
ZSTJLIO,O,O,O,O,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
ZSTJLOI,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZSTJOIL,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
ZSTJOLI,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X
ZSTOILJ,O,O,O,O,X,X,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X,O
ZSTOIJL,O,O,O,X,X,O,O,O,O,O,O,X,O,X,O,O,O,X,X,X,X,O
ZSTOLIJ,O,O,O,O,X,X,X,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X
ZSTOLJI,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZSTOJIL,O,O,O,O,O,O,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
ZSTOJLI,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
ZSITLJO,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O
ZSITLOJ,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O
ZSITJLO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O
ZSITJOL,O,O,O,O,X,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,O
ZSITOLJ,O,O,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X,O
ZSITOJL,O,O,O,X,X,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,O
ZSILTJO,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X
ZSILTOJ,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ZSILJTO,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
ZSILJOT,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZSILOTJ,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZSILOJT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSIJTLO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
ZSIJTOL,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
ZSIJLTO,O,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
ZSIJLOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSIJOTL,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
ZSIJOLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSIOTLJ,O,O,O,X,X,X,O,O,O,O,X,X,O,O,X,O,X,O,X,X,X,O
ZSIOTJL,O,O,O,X,X,X,O,O,O,O,X,X,O,X,X,O,O,O,X,X,X,O
ZSIOLTJ,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZSIOLJT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSIOJTL,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
ZSIOJLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSLTIJO,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSLTIOJ,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTJIO,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSLTJOI,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZSLTOIJ,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTOJI,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZSLITJO,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
ZSLITOJ,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ZSLIJTO,O,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
ZSLIJOT,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
ZSLIOTJ,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSLIOJT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSLJTIO,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSLJTOI,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
ZSLJITO,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSLJIOT,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZSLJOTI,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
ZSLJOIT,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZSLOTIJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZSLOTJI,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZSLOITJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZSLOIJT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSLOJTI,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSLOJIT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZSJTILO,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X
ZSJTIOL,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X
ZSJTLIO,O,O,O,O,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
ZSJTLOI,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZSJTOIL,O,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZSJTOLI,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X
ZSJITLO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
ZSJITOL,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
ZSJILTO,O,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
ZSJILOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSJIOTL,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
ZSJIOLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSJLTIO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSJLTOI,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
ZSJLITO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSJLIOT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZSJLOTI,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
ZSJLOIT,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZSJOTIL,O,X,X,O,O,O,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
ZSJOTLI,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X
ZSJOITL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ZSJOILT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSJOLTI,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
ZSJOLIT,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZSOTILJ,O,O,O,O,X,X,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X,O
ZSOTIJL,O,O,O,X,X,O,O,O,O,O,O,X,O,X,O,O,O,X,X,X,X,O
ZSOTLIJ,O,O,O,O,X,X,X,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X
ZSOTLJI,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZSOTJIL,O,O,O,O,O,O,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
ZSOTJLI,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
ZSOITLJ,O,O,O,X,X,X,X,O,O,O,X,X,O,O,O,O,X,O,X,X,X,O
ZSOITJL,O,O,O,X,X,X,O,O,O,O,X,X,O,X,O,O,O,O,X,X,X,O
ZSOILTJ,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZSOILJT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSOIJTL,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X
ZSOIJLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSOLTIJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZSOLTJI,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZSOLITJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZSOLIJT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSOLJTI,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSOLJIT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZSOJTIL,O,X,X,O,O,O,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X
ZSOJTLI,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
ZSOJITL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X
ZSOJILT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSOJLTI,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
ZSOJLIT,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZOTILJS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ZOTILSJ,O,O,O,O,X,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,O
ZOTIJLS,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O
ZOTIJSL,O,O,O,O,X,X,O,X,O,X,X,X,O,X,O,O,O,X,X,X,X,O
ZOTISLJ,O,O,O,O,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,O
ZOTISJL,O,O,O,X,X,X,O,X,O,O,X,X,O,X,O,O,O,X,X,X,X,O
ZOTLIJS,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O
ZOTLISJ,O,O,O,O,X,X,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,O
ZOTLJIS,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZOTLJSI,O,O,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZOTLSIJ,O,O,O,O,X,X,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X
ZOTLSJI,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZOTJILS,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O
ZOTJISL,O,O,O,O,X,O,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,O
ZOTJLIS,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZOTJLSI,O,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZOTJSIL,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,O,O,X,O,X,X,X
ZOTJSLI,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X
ZOTSILJ,O,O,O,O,X,X,X,O,O,O,X,X,O,O,O,O,X,X,O,X,X,O
ZOTSIJL,O,O,O,X,X,O,O,O,O,O,O,X,O,X,O,O,O,X,O,X,X,O
ZOTSLIJ,O,O,O,O,X,X,X,O,X,O,X,X,O,O,O,O,X,X,O,X,X,X
ZOTSLJI,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X
ZOTSJIL,O,O,O,O,O,O,O,O,X,X,O,X,O,X,O,O,O,X,O,X,X,X
ZOTSJLI,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X
ZOITLJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O
ZOITLSJ,O,X,O,X,X,X,X,O,X,O,X,X,O,X,O,O,X,O,X,X,X,O
ZOITJLS,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O
ZOITJSL,O,X,O,X,X,X,O,X,O,X,X,X,O,X,O,O,O,O,X,X,X,O
ZOITSLJ,O,X,O,X,X,X,O,X,O,O,X,X,O,O,O,O,X,O,X,X,X,O
ZOITSJL,O,X,O,X,X,X,O,X,O,O,X,X,O,X,O,O,O,O,X,X,X,O
ZOILTJS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O
ZOILTSJ,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O
ZOILJTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZOILJST,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZOILSTJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZOILSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZOIJTLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O
ZOIJTSL,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,O
ZOIJLTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZOIJLST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOIJSTL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X
ZOIJSLT,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZOISTLJ,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,O,X,O,X,X,X,O
ZOISTJL,O,X,O,X,X,X,O,O,O,O,X,X,O,X,O,O,O,O,X,X,X,O
ZOISLTJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZOISLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZOISJTL,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X
ZOISJLT,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZOLTIJS,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O
ZOLTISJ,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O
ZOLTJIS,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZOLTJSI,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZOLTSIJ,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X
ZOLTSJI,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZOLITJS,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O
ZOLITSJ,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O
ZOLIJTS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZOLIJST,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
ZOLISTJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZOLISJT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZOLJTIS,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
ZOLJTSI,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
ZOLJITS,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZOLJIST,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
ZOLJSTI,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
ZOLJSIT,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZOLSTIJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZOLSTJI,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZOLSITJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZOLSIJT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZOLSJTI,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZOLSJIT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZOJTILS,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O
ZOJTISL,O,O,X,O,X,O,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,O
ZOJTLIS,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZOJTLSI,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZOJTSIL,O,O,X,O,O,O,O,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X
ZOJTSLI,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZOJITLS,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O
ZOJITSL,O,O,X,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X,O
ZOJILTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZOJILST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOJISTL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X
ZOJISLT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZOJLTIS,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
ZOJLTSI,O,X,X,O,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
ZOJLITS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZOJLIST,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
ZOJLSTI,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
ZOJLSIT,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZOJSTIL,O,X,X,O,O,O,O,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
ZOJSTLI,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X
ZOJSITL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O,O,O,O,X,X,X
ZOJSILT,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZOJSLTI,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X
ZOJSLIT,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZOSTILJ,O,O,O,O,X,X,X,O,O,O,X,X,O,O,O,O,X,X,O,X,X,O
ZOSTIJL,O,O,O,X,X,O,O,O,O,O,O,X,O,X,O,O,O,X,O,X,X,O
ZOSTLIJ,O,O,O,O,X,X,X,O,X,O,X,X,O,O,O,O,X,X,O,X,X,X
ZOSTLJI,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X
