sequence,v115@ShB8EeG8AeA8AeB8JeOEJvhFXgB8lBanB5nBTjB9rB,v115@ShB8EeG8AeA8AeB8JeNEJvhFRgBGiBTjB0lB6rB/sB
OLTZIJS,O,X
OLTZISJ,O,O
OLTZJIS,O,X
OLTZJSI,O,X
OLTZSIJ,O,O
OLTZSJI,O,O
OLITJSZ,X,X
OLITJZS,O,X
OLITSJZ,X,X
OLITSZJ,X,X
OLITZJS,O,X
OLITZSJ,O,X
OLIJTSZ,X,X
OLIJTZS,O,X
OLIJSTZ,X,X
OLIJSZT,X,X
OLIJZTS,X,X
OLIJZST,X,X
OLISTJZ,X,X
OLISTZJ,X,X
OLISJTZ,X,X
OLISJZT,X,X
OLISZTJ,X,X
OLISZJT,X,X
OLIZTJS,X,X
OLIZTSJ,X,X
OLIZJTS,X,X
OLIZJST,X,X
OLIZSTJ,X,X
OLIZSJT,X,X
OLJTISZ,X,X
OLJTIZS,O,X
OLJTSIZ,X,X
OLJTSZI,X,X
OLJTZIS,O,X
OLJTZSI,O,X
OLJITSZ,X,X
OLJITZS,O,X
OLJISTZ,X,X
OLJISZT,X,X
OLJIZTS,X,X
OLJIZST,X,X
OLJSTIZ,X,X
OLJSTZI,X,X
OLJSITZ,X,X
OLJSIZT,X,X
OLJSZTI,X,X
OLJSZIT,X,X
OLJZTIS,X,X
OLJZTSI,X,X
OLJZITS,X,X
OLJZIST,X,X
OLJZSTI,X,X
OLJZSIT,X,X
OLSTIJZ,X,O
OLSTIZJ,X,X
OLSTJIZ,X,O
OLSTJZI,X,O
OLSTZIJ,X,O
OLSTZJI,X,O
OLSITJZ,X,X
OLSITZJ,X,X
OLSIJTZ,X,X
OLSIJZT,X,X
OLSIZTJ,X,X
OLSIZJT,X,X
OLSJTIZ,X,O
OLSJTZI,X,O
OLSJITZ,X,X
OLSJIZT,X,X
OLSJZTI,X,O
OLSJZIT,X,X
OLSZTIJ,X,O
OLSZTJI,X,O
OLSZITJ,X,X
OLSZIJT,X,X
OLSZJTI,X,O
OLSZJIT,X,X
OLZTIJS,X,X
OLZTISJ,X,O
OLZTJIS,X,X
OLZTJSI,X,X
OLZTSIJ,X,O
OLZTSJI,X,O
OLZITJS,X,X
OLZITSJ,X,X
OLZIJTS,X,X
OLZIJST,X,X
OLZISTJ,X,X
OLZISJT,X,X
OLZJTIS,X,X
OLZJTSI,X,X
OLZJITS,X,X
OLZJIST,X,X
OLZJSTI,X,X
OLZJSIT,X,X
OLZSTIJ,X,O
OLZSTJI,X,O
OLZSITJ,X,X
OLZSIJT,X,X
OLZSJTI,X,O
OLZSJIT,X,X
OJTILSZ,X,X
OJTILZS,O,X
OJTISLZ,X,X
OJTISZL,X,X
OJTIZLS,O,X
OJTIZSL,O,X
OJTLISZ,X,X
OJTLIZS,O,X
OJTLSIZ,X,X
OJTLSZI,X,X
OJTLZIS,O,X
OJTLZSI,O,X
OJTSILZ,X,X
OJTSIZL,X,X
OJTSLIZ,X,X
OJTSLZI,X,X
OJTSZIL,X,X
OJTSZLI,X,X
OJTZILS,O,X
OJTZISL,O,X
OJTZLIS,O,X
OJTZLSI,O,X
OJTZSIL,O,X
OJTZSLI,O,X
OJITLSZ,X,X
OJITLZS,O,X
OJITSLZ,X,X
OJITSZL,X,X
OJITZLS,O,X
OJITZSL,O,X
OJILTSZ,X,X
OJILTZS,O,X
OJILSTZ,X,X
OJILSZT,X,X
OJILZTS,X,X
OJILZST,X,X
OJISTLZ,X,X
OJISTZL,X,X
OJISLTZ,X,X
OJISLZT,X,X
OJISZTL,O,X
OJISZLT,X,X
OJIZTLS,O,X
OJIZTSL,O,X
OJIZLTS,X,X
OJIZLST,X,X
OJIZSTL,O,X
OJIZSLT,X,X
OJLTISZ,X,X
OJLTIZS,O,X
OJLTSIZ,X,X
OJLTSZI,X,X
OJLTZIS,O,X
OJLTZSI,O,X
OJLITSZ,X,X
OJLITZS,O,X
OJLISTZ,X,X
OJLISZT,X,X
OJLIZTS,X,X
OJLIZST,X,X
OJLSTIZ,X,X
OJLSTZI,X,X
OJLSITZ,X,X
OJLSIZT,X,X
OJLSZTI,X,X
OJLSZIT,X,X
OJLZTIS,X,X
OJLZTSI,X,X
OJLZITS,X,X
OJLZIST,X,X
OJLZSTI,X,X
OJLZSIT,X,X
OJSTILZ,X,X
OJSTIZL,X,X
OJSTLIZ,X,X
OJSTLZI,X,X
OJSTZIL,X,X
OJSTZLI,X,X
OJSITLZ,X,X
OJSITZL,X,X
OJSILTZ,X,X
OJSILZT,X,X
OJSIZTL,O,X
OJSIZLT,X,X
OJSLTIZ,X,X
OJSLTZI,X,X
OJSLITZ,X,X
OJSLIZT,X,X
OJSLZTI,X,X
OJSLZIT,X,X
OJSZTIL,O,X
OJSZTLI,O,X
OJSZITL,O,X
OJSZILT,X,X
OJSZLTI,X,X
OJSZLIT,X,X
OJZTILS,O,X
OJZTISL,O,X
OJZTLIS,O,X
OJZTLSI,O,X
OJZTSIL,O,X
OJZTSLI,O,X
OJZITLS,O,X
OJZITSL,O,X
OJZILTS,X,X
OJZILST,X,X
OJZISTL,O,X
OJZISLT,X,X
OJZLTIS,X,X
OJZLTSI,X,X
OJZLITS,X,X
OJZLIST,X,X
OJZLSTI,X,X
OJZLSIT,X,X
OJZSTIL,O,X
OJZSTLI,O,X
OJZSITL,O,X
OJZSILT,X,X
OJZSLTI,X,X
OJZSLIT,X,X
OSTILJZ,X,O
OSTILZJ,X,X
OSTIJLZ,X,O
OSTIJZL,X,O
OSTIZLJ,X,X
OSTIZJL,X,X
OSTLIJZ,X,O
OSTLIZJ,X,X
OSTLJIZ,X,O
OSTLJZI,X,O
OSTLZIJ,X,O
OSTLZJI,X,O
OSTJILZ,X,O
OSTJIZL,X,O
OSTJLIZ,X,O
OSTJLZI,X,O
OSTJZIL,X,O
OSTJZLI,X,X
OSTZILJ,X,X
OSTZIJL,X,O
OSTZLIJ,X,O
OSTZLJI,X,O
OSTZJIL,X,O
OSTZJLI,X,X
OSITLJZ,X,X
OSITLZJ,X,X
OSITJLZ,X,X
OSITJZL,X,X
OSITZLJ,X,X
OSITZJL,X,X
OSILTJZ,X,X
OSILTZJ,X,X
OSILJTZ,X,X
OSILJZT,X,X
OSILZTJ,X,X
OSILZJT,X,X
OSIJTLZ,X,X
OSIJTZL,X,X
OSIJLTZ,X,X
OSIJLZT,X,X
OSIJZTL,O,X
OSIJZLT,X,X
OSIZTLJ,O,X
OSIZTJL,O,X
OSIZLTJ,X,X
OSIZLJT,X,X
OSIZJTL,O,X
OSIZJLT,X,X
OSLTIJZ,X,O
OSLTIZJ,X,X
OSLTJIZ,X,O
OSLTJZI,X,O
OSLTZIJ,X,O
OSLTZJI,X,O
OSLITJZ,X,X
OSLITZJ,X,X
OSLIJTZ,X,X
OSLIJZT,X,X
OSLIZTJ,X,X
OSLIZJT,X,X
OSLJTIZ,X,O
OSLJTZI,X,O
OSLJITZ,X,X
OSLJIZT,X,X
OSLJZTI,X,O
OSLJZIT,X,X
OSLZTIJ,X,O
OSLZTJI,X,O
OSLZITJ,X,X
OSLZIJT,X,X
OSLZJTI,X,O
OSLZJIT,X,X
OSJTILZ,X,O
OSJTIZL,X,O
OSJTLIZ,X,O
OSJTLZI,X,O
OSJTZIL,X,O
OSJTZLI,X,X
OSJITLZ,X,X
OSJITZL,X,X
OSJILTZ,X,X
OSJILZT,X,X
OSJIZTL,O,X
OSJIZLT,X,X
OSJLTIZ,X,O
OSJLTZI,X,O
OSJLITZ,X,X
OSJLIZT,X,X
OSJLZTI,X,O
OSJLZIT,X,X
OSJZTIL,O,O
OSJZTLI,O,X
OSJZITL,O,X
OSJZILT,X,X
OSJZLTI,X,X
OSJZLIT,X,X
OSZTILJ,O,X
OSZTIJL,O,O
OSZTLIJ,O,O
OSZTLJI,O,O
OSZTJIL,O,O
OSZTJLI,O,X
OSZITLJ,O,X
OSZITJL,O,X
OSZILTJ,X,X
OSZILJT,X,X
OSZIJTL,O,X
OSZIJLT,X,X
OSZLTIJ,X,O
OSZLTJI,X,O
OSZLITJ,X,X
OSZLIJT,X,X
OSZLJTI,X,O
OSZLJIT,X,X
OSZJTIL,O,O
OSZJTLI,O,X
OSZJITL,O,X
OSZJILT,X,X
OSZJLTI,X,X
OSZJLIT,X,X
OZTILJS,O,X
OZTILSJ,O,X
OZTIJLS,O,X
OZTIJSL,O,X
OZTISLJ,O,X
OZTISJL,O,O
OZTLIJS,O,X
OZTLISJ,O,O
OZTLJIS,O,X
OZTLJSI,O,X
OZTLSIJ,O,O
OZTLSJI,O,O
OZTJILS,O,X
OZTJISL,O,X
OZTJLIS,O,X
OZTJLSI,O,X
OZTJSIL,O,X
OZTJSLI,O,X
OZTSILJ,O,X
OZTSIJL,O,O
OZTSLIJ,O,O
OZTSLJI,O,O
OZTSJIL,O,O
OZTSJLI,O,X
OZITLJS,O,X
OZITLSJ,O,X
OZITJLS,O,X
OZITJSL,O,X
OZITSLJ,O,X
OZITSJL,O,X
OZILTJS,X,X
OZILTSJ,X,X
OZILJTS,X,X
OZILJST,X,X
OZILSTJ,X,X
OZILSJT,X,X
OZIJTLS,O,X
OZIJTSL,O,X
OZIJLTS,X,X
OZIJLST,X,X
OZIJSTL,O,X
OZIJSLT,X,X
OZISTLJ,O,X
OZISTJL,O,X
OZISLTJ,X,X
OZISLJT,X,X
OZISJTL,O,X
OZISJLT,X,X
OZLTIJS,X,X
OZLTISJ,X,O
OZLTJIS,X,X
OZLTJSI,X,X
OZLTSIJ,X,O
OZLTSJI,X,O
OZLITJS,X,X
OZLITSJ,X,X
OZLIJTS,X,X
OZLIJST,X,X
OZLISTJ,X,X
OZLISJT,X,X
OZLJTIS,X,X
OZLJTSI,X,X
OZLJITS,X,X
OZLJIST,X,X
OZLJSTI,X,X
OZLJSIT,X,X
OZLSTIJ,X,O
OZLSTJI,X,O
OZLSITJ,X,X
OZLSIJT,X,X
OZLSJTI,X,O
OZLSJIT,X,X
OZJTILS,O,X
OZJTISL,O,X
OZJTLIS,O,X
OZJTLSI,O,X
OZJTSIL,O,X
OZJTSLI,O,X
OZJITLS,O,X
OZJITSL,O,X
OZJILTS,X,X
OZJILST,X,X
OZJISTL,O,X
OZJISLT,X,X
OZJLTIS,X,X
OZJLTSI,X,X
OZJLITS,X,X
OZJLIST,X,X
OZJLSTI,X,X
OZJLSIT,X,X
OZJSTIL,O,X
OZJSTLI,O,X
OZJSITL,O,X
OZJSILT,X,X
OZJSLTI,X,X
OZJSLIT,X,X
OZSTILJ,O,X
OZSTIJL,O,O
OZSTLIJ,O,O
OZSTLJI,O,O
OZSTJIL,O,O
OZSTJLI,O,X
OZSITLJ,O,X
OZSITJL,O,X
OZSILTJ,X,X
OZSILJT,X,X
OZSIJTL,O,X
OZSIJLT,X,X
OZSLTIJ,X,O
OZSLTJI,X,O
OZSLITJ,X,X
OZSLIJT,X,X
OZSLJTI,X,O
OZSLJIT,X,X
OZSJTIL,O,O
OZSJTLI,O,X
OZSJITL,O,X
OZSJILT,X,X
OZSJLTI,X,X
OZSJLIT,X,X
