sequence,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBcmBT?iBKtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhF6jBFhBmiB3?mBcsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhF6jBFhBXiB8?nBmrBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBFhB0iB3?mB+tBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBFiBT?mBcsBKtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBFhBXiBS?tBmrBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFyiB+jBFhB3?mBcsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBTmBi?nBUtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lem8IvhFzdB5jBFhB3?mBcsBKtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTdBcmBynB5?oBOtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le+DJvhFUhBRiB3iBi?mBFsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBFiBTmBc?sBOtB6tB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBcmBTiBO?tB6tBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lez9IvhF5jBFhB2nBf?sBimBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFKiBzdBcmBO?tB5oBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFFiBTmBxsBG?tBctBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeFBJvhFxiBXjBasB+?tBTrB0sB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTmBxnBFnBG?tBctBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeFBJvhFxiB0iBasB+?tBTrBXtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBUiBFjBT?mB+tBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBFiBTmBc?sB6tBOtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFcmBxiBTiBO?tB6tBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeU+IvhFFhBXiBSoBx?rBTtBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhBXjBasB+?tB0sBTrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFViBajB5jBT?mBOsBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lel8IvhFzdB5jBUhB/?nBKtBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhB0iBasB+?tBXtBTrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhBXiBcsBO?tB6tBTrB
ZLJTSIO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,O,O
ZLJTSOI,O,O,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,O,O
ZLJTOIS,O,O,O,X,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLJTOSI,O,O,O,X,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X
ZLJITSO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,O,X
ZLJITOS,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X
ZLJISTO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X
ZLJISOT,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLJIOTS,X,O,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLJIOST,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLJSTIO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,O,O
ZLJSTOI,O,O,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,O,O
ZLJSITO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X
ZLJSIOT,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLJSOTI,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLJSOIT,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLJOTIS,X,O,O,X,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLJOTSI,X,O,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
ZLJOITS,X,O,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLJOIST,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLJOSTI,X,O,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLJOSIT,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLSTIJO,O,O,O,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLSTIOJ,O,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLSTJIO,O,O,O,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O
ZLSTJOI,O,O,O,X,O,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLSTOIJ,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLSTOJI,O,O,O,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLSITJO,O,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLSITOJ,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLSIJTO,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLSIJOT,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLSIOTJ,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLSIOJT,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLSJTIO,O,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
ZLSJTOI,O,O,O,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
ZLSJITO,O,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X
ZLSJIOT,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLSJOTI,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLSJOIT,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLSOTIJ,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLSOTJI,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLSOITJ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLSOIJT,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLSOJTI,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLSOJIT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLOTIJS,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOTISJ,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOTJIS,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOTJSI,O,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOTSIJ,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOTSJI,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOITJS,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOITSJ,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOIJTS,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLOIJST,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLOISTJ,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOISJT,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLOJTIS,X,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOJTSI,X,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOJITS,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLOJIST,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLOJSTI,X,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOJSIT,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLOSTIJ,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOSTJI,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOSITJ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOSIJT,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZLOSJTI,X,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
ZLOSJIT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJTILSO,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,O,X,X
ZJTILOS,X,O,O,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
ZJTISLO,X,O,O,O,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,O,X,O
ZJTISOL,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
ZJTIOLS,X,O,O,O,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJTIOSL,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
ZJTLISO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,O,O,X
ZJTLIOS,O,O,O,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
ZJTLSIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,O,O
ZJTLSOI,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,O,O
ZJTLOIS,O,O,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJTLOSI,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X
ZJTSILO,X,O,O,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
ZJTSIOL,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
ZJTSLIO,O,O,O,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
ZJTSLOI,O,O,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
ZJTSOIL,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZJTSOLI,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
ZJTOILS,X,O,O,O,X,X,O,X,X,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
ZJTOISL,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
ZJTOLIS,O,O,O,O,X,X,O,X,O,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJTOLSI,O,O,O,O,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJTOSIL,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
ZJTOSLI,O,O,O,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X,O
ZJITLSO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,O,X,X
ZJITLOS,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
ZJITSLO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,O,X,O
ZJITSOL,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZJITOLS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJITOSL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZJILTSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X
ZJILTOS,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X
ZJILSTO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X
ZJILSOT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJILOTS,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJILOST,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJISTLO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
ZJISTOL,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZJISLTO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X
ZJISLOT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJISOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZJISOLT,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJIOTLS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ZJIOTSL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ZJIOLTS,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJIOLST,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJIOSTL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
ZJIOSLT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJLTISO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,O,O,O,X
ZJLTIOS,O,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,O,O,X,X
ZJLTSIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,O,O
ZJLTSOI,O,O,O,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,O,O,O
ZJLTOIS,O,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJLTOSI,O,O,O,O,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X
ZJLITSO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,O,O,X
ZJLITOS,O,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,X
ZJLISTO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
ZJLISOT,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJLIOTS,X,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJLIOST,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJLSTIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,O,O
ZJLSTOI,O,O,O,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,O,O,O
ZJLSITO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
ZJLSIOT,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJLSOTI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJLSOIT,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJLOTIS,X,O,O,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X
ZJLOTSI,X,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X
ZJLOITS,X,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJLOIST,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJLOSTI,X,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
ZJLOSIT,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJSTILO,X,O,O,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
ZJSTIOL,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
ZJSTLIO,O,O,O,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
ZJSTLOI,O,O,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
ZJSTOIL,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZJSTOLI,O,O,O,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
ZJSITLO,X,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
ZJSITOL,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZJSILTO,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X
ZJSILOT,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJSIOTL,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZJSIOLT,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJSLTIO,O,O,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,O,X,O,O,O,X,O
ZJSLTOI,O,O,O,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,O,O,X,O
ZJSLITO,O,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X
ZJSLIOT,O,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJSLOTI,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJSLOIT,O,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJSOTIL,X,O,O,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
ZJSOTLI,X,O,O,O,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,O
ZJSOITL,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
ZJSOILT,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
ZJSOLTI,X,O,O,O,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJSOLIT,X,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJOTILS,X,O,O,O,X,X,O,X,X,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
ZJOTISL,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZJOTLIS,X,O,O,O,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,O,O,X,X,X,O,O,X,X
ZJOTLSI,X,O,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
ZJOTSIL,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZJOTSLI,X,O,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,O,O,X,O
ZJOITLS,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X
ZJOITSL,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X
ZJOILTS,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
ZJOILST,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
ZJOISTL,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
ZJOISLT,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
ZJOLTIS,X,O,O,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X
ZJOLTSI,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
ZJOLITS,X,O,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJOLIST,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJOLSTI,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
ZJOLSIT,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZJOSTIL,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZJOSTLI,X,O,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,O,O,X,O
ZJOSITL,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
ZJOSILT,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
ZJOSLTI,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
ZJOSLIT,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
ZSTILJO,O,O,O,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSTILOJ,O,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
